product_key,source_product_id,product_name,category,sub_category,unit_cost,supplier
1,FUR-ADV-10000002,"Advantus Photo Frame, Duo Pack",Furniture,Furnishings,32.870000000000005,WoodCraft Furnishings
2,FUR-ADV-10000108,"Advantus Clock, Erganomic",Furniture,Furnishings,49.52,WoodCraft Furnishings
3,FUR-ADV-10000183,"Advantus Photo Frame, Black",Furniture,Furnishings,52.48316666666667,WoodCraft Furnishings
4,FUR-ADV-10000188,"Advantus Stacking Tray, Erganomic",Furniture,Furnishings,17.257399999999997,WoodCraft Furnishings
5,FUR-ADV-10000190,"Advantus Frame, Duo Pack",Furniture,Furnishings,58.77,WoodCraft Furnishings
6,FUR-ADV-10000571,"Advantus Frame, Erganomic",Furniture,Furnishings,74.7125,WoodCraft Furnishings
7,FUR-ADV-10000600,"Advantus Clock, Duo Pack",Furniture,Furnishings,45.35,WoodCraft Furnishings
8,FUR-ADV-10000847,"Advantus Stacking Tray, Black",Furniture,Furnishings,18.82,WoodCraft Furnishings
9,FUR-ADV-10001283,"Advantus Frame, Black",Furniture,Furnishings,88.94200000000001,WoodCraft Furnishings
10,FUR-ADV-10001440,"Advantus Door Stop, Black",Furniture,Furnishings,35.62442857142857,WoodCraft Furnishings
11,FUR-ADV-10001659,"Advantus Light Bulb, Durable",Furniture,Furnishings,12.915,WoodCraft Furnishings
12,FUR-ADV-10001855,"Advantus Stacking Tray, Durable",Furniture,Furnishings,19.0955,WoodCraft Furnishings
13,FUR-ADV-10002329,"Advantus Light Bulb, Erganomic",Furniture,Furnishings,16.534,WoodCraft Furnishings
14,FUR-ADV-10002601,"Advantus Photo Frame, Erganomic",Furniture,Furnishings,27.107333333333333,WoodCraft Furnishings
15,FUR-ADV-10002632,"Advantus Door Stop, Duo Pack",Furniture,Furnishings,42.354,WoodCraft Furnishings
16,FUR-ADV-10002889,"Advantus Clock, Durable",Furniture,Furnishings,45.377428571428574,WoodCraft Furnishings
17,FUR-ADV-10003147,"Advantus Stacking Tray, Erganomic",Furniture,Furnishings,15.87,WoodCraft Furnishings
18,FUR-ADV-10003326,"Advantus Light Bulb, Black",Furniture,Furnishings,10.60275,WoodCraft Furnishings
19,FUR-ADV-10004159,"Advantus Frame, Durable",Furniture,Furnishings,96.28166666666665,WoodCraft Furnishings
20,FUR-ADV-10004223,"Advantus Clock, Black",Furniture,Furnishings,36.1065,WoodCraft Furnishings
