sales_id,order_id,date_id,product_id,region_id,customer_id,quantity,unit_price,discount_pct,gross_revenue,net_revenue,cost,profit,margin_pct,returned_flag,shipping_cost,ship_mode,order_priority
1,AG-2011-2040,20110101,7682,1,1,2,204.0,0.0,408.0,408.0,301.86,106.14,0.2601470588235294,False,35.46,Standard Class,Medium
2,IN-2011-47883,20110101,7300,10,2,3,44.44444444444445,0.1,133.33333333333334,120.0,83.964,36.036,0.3003,False,9.72,Standard Class,Medium
3,HU-2011-1220,20110101,7694,6,3,4,16.5,0.0,66.0,66.0,36.36,29.64,0.4490909090909091,False,8.17,Second Class,High
4,IT-2011-3647632,20110101,6047,8,4,3,30.0,0.5,90.0,45.0,71.055,-26.055,-0.579,False,4.82,Second Class,High
5,IN-2011-47883,20110101,1458,10,2,5,25.33333333333333,0.1,126.66666666666666,114.0,76.22999999999999,37.77,0.3313157894736842,False,4.7,Standard Class,Medium
6,IN-2011-47883,20110101,6120,10,2,2,30.555555555555557,0.1,61.11111111111111,55.0,39.658,15.342,0.2789454545454545,False,1.8,Standard Class,Medium
7,CA-2011-1510,20110102,9377,2,5,1,314.0,0.0,314.0,314.0,310.88,3.12,0.009936305732484,False,24.1,Standard Class,Medium
8,IN-2011-79397,20110103,2273,10,10,1,306.6666666666667,0.1,306.6666666666667,276.0,165.588,110.412,0.4000434782608696,False,125.32,Same Day,Critical
9,ID-2011-80230,20110103,8756,10,12,4,380.0,0.4,1520.0,912.0,1231.464,-319.464,-0.3502894736842105,False,107.1,Standard Class,Low
10,IZ-2011-4680,20110103,1730,6,7,4,166.75,0.0,667.0,667.0,413.68,253.32,0.3797901049475262,False,81.26,Standard Class,High
11,IN-2011-65159,20110103,6953,12,13,3,204.84848484848484,0.45,614.5454545454545,338.0,460.8005,-122.8005,-0.3633150887573964,True,33.75,Second Class,High
12,IN-2011-65159,20110103,1988,12,13,1,468.8888888888889,0.55,468.8888888888889,211.0,281.3995,-70.3995,-0.3336469194312796,False,21.32,Second Class,High
13,ES-2011-4869686,20110103,100,8,15,7,122.0,0.0,854.0,854.0,563.5699999999999,290.43,0.3400819672131148,False,12.56,Standard Class,Medium
14,IN-2011-33652,20110103,8456,12,16,1,193.0,0.0,193.0,193.0,142.87,50.13,0.259740932642487,False,10.4,Standard Class,Medium
15,ID-2011-80230,20110103,510,10,12,2,132.5,0.4,265.0,159.0,254.676,-95.676,-0.6017358490566038,False,10.07,Standard Class,Low
16,MX-2011-160234,20110103,9697,4,14,4,48.75,0.0,195.0,195.0,150.12,44.88,0.2301538461538461,False,8.43,Standard Class,Medium
17,IR-2011-770,20110103,3936,6,6,2,61.5,0.0,123.0,123.0,80.1,42.9,0.348780487804878,False,8.41,Standard Class,Medium
18,ID-2011-80230,20110103,8069,10,12,2,57.5,0.4,115.0,69.0,65.58,3.42,0.0495652173913043,False,8.34,Standard Class,Low
19,ID-2011-80230,20110103,552,10,12,2,57.5,0.4,115.0,69.0,95.412,-26.412,-0.3827826086956521,False,8.17,Standard Class,Low
